"","X","Z","Y","block"
"787",787,FALSE,1,26
"788",788,TRUE,0,26
"789",789,FALSE,0,26
"790",790,TRUE,1,26
"791",791,TRUE,0,26
"792",792,FALSE,0,26
"793",793,FALSE,0,26
"794",794,FALSE,0,26
"795",795,TRUE,1,26
"796",796,FALSE,0,26
"797",797,TRUE,1,26
"798",798,TRUE,0,26
"799",799,TRUE,0,26
"800",800,TRUE,0,26
"801",801,FALSE,1,26
"802",802,FALSE,0,26
"803",803,FALSE,0,26
"804",804,TRUE,0,26
"805",805,FALSE,0,26
"806",806,TRUE,0,26
"807",807,FALSE,0,26
"808",808,FALSE,0,26
"809",809,TRUE,0,26
"810",810,FALSE,0,26
"811",811,TRUE,0,28
"812",812,TRUE,0,28
"813",813,TRUE,0,28
"814",814,FALSE,0,28
"815",815,TRUE,0,28
"816",816,FALSE,0,28
"817",817,FALSE,1,28
"818",818,TRUE,1,28
"819",819,TRUE,1,28
"820",820,TRUE,1,28
"821",821,FALSE,1,28
"822",822,TRUE,0,28
"823",823,FALSE,0,28
"824",824,FALSE,0,28
"825",825,TRUE,0,28
"826",826,TRUE,1,28
"827",827,FALSE,0,28
"828",828,FALSE,0,28
"829",829,TRUE,1,28
"830",830,TRUE,1,28
"831",831,TRUE,1,28
"832",832,TRUE,0,28
"833",833,FALSE,0,28
"834",834,TRUE,0,28
"835",835,TRUE,0,28
"836",836,TRUE,0,28
"837",837,FALSE,1,28
"838",838,FALSE,0,28
"839",839,FALSE,0,28
"840",840,FALSE,0,28
"841",841,TRUE,0,29
"842",842,TRUE,1,29
"843",843,FALSE,0,29
"844",844,TRUE,0,29
"845",845,TRUE,0,29
"846",846,FALSE,0,29
"847",847,FALSE,0,29
"848",848,TRUE,0,29
"849",849,TRUE,1,29
"850",850,TRUE,0,29
"851",851,TRUE,1,29
"852",852,FALSE,1,29
"853",853,TRUE,0,29
"854",854,TRUE,0,29
"855",855,FALSE,1,29
"856",856,TRUE,1,29
"857",857,FALSE,0,29
"858",858,TRUE,1,29
"859",859,TRUE,1,29
"860",860,TRUE,1,29
"861",861,FALSE,1,29
"862",862,FALSE,0,29
"863",863,FALSE,0,29
"864",864,FALSE,0,29
"865",865,FALSE,1,29
"866",866,TRUE,0,29
"867",867,TRUE,0,29
"868",868,TRUE,0,29
"869",869,TRUE,0,29
"870",870,FALSE,1,29
"871",871,FALSE,1,30
"872",872,FALSE,0,30
"873",873,FALSE,0,30
